Comments,vader_neg,vader_neu,vader_pos,vader_compound,vader_label
I do it too I blend rough,0.0,1.0,0.0,0.0,neutral
"I buy in rumuokoro market , malls, even Igwuruta market too,",0.0,1.0,0.0,0.0,neutral
Golden penny pasta  my favorite ... Golden penny pasta or nothing,0.0,0.769,0.231,0.4588,neutral
The creamy is a no no for me.,0.0,0.788,0.212,0.2235,neutral
"I don't like this Spaghettini, I prefer the other one.",0.19,0.81,0.0,-0.2755,neutral
The best among the rest,0.0,0.488,0.512,0.6369,positive
Why is she mentioning my name,0.0,1.0,0.0,0.0,neutral
if is  not golden penny forget it,0.0,0.783,0.217,0.1695,neutral
The best of the best .,0.0,0.323,0.677,0.8555,positive
"Ur igbo no b here, but the pasta na ogbonge",0.151,0.849,0.0,-0.1531,neutral
Spaghetti is my best food,0.0,0.488,0.512,0.6369,positive
Ewooo where is my own share please,0.0,0.526,0.474,0.5423,positive
I don’t like spaghettini joor,0.0,0.615,0.385,0.3612,neutral
If it's too smooth not for me,0.0,1.0,0.0,0.0,neutral
Golden penny all the way.,0.0,1.0,0.0,0.0,neutral
I do am wella,0.0,1.0,0.0,0.0,neutral
Ur husband advocate none consumption of processed food and now dis,0.0,1.0,0.0,0.0,neutral
I don’t like smooth tomatoes,0.0,0.615,0.385,0.3612,neutral
"My name sake, Weldon",0.0,1.0,0.0,0.0,neutral
"Golden Penny is the best any day, any time",0.0,0.656,0.344,0.6369,positive
Otooka,0.0,1.0,0.0,0.0,neutral
Okwa di gi si anyi erizina proccessed food ehhhh sakemmm,0.0,1.0,0.0,0.0,neutral
No be that Dr wife be this,0.268,0.732,0.0,-0.296,neutral
Amaka Nne you’re doing well,0.0,0.656,0.344,0.2732,neutral
"Best pasta in Nigeria , no cap",0.193,0.439,0.368,0.4588,neutral
@,0.0,1.0,0.0,0.0,neutral
Golden penny spaghetti the best ever,0.0,0.543,0.457,0.6369,positive
"Golden penny Spaghetti, always the best",0.0,0.543,0.457,0.6369,positive
LoL,0.0,0.0,1.0,0.4215,neutral
Smiles,0.0,0.0,1.0,0.4767,neutral
Chef Amaka,0.0,1.0,0.0,0.0,neutral
Nd na d exact thing wey I dey chop now like this,0.0,0.815,0.185,0.3612,neutral
"Words alone cannot describe the trust and love I have for golden penny pasta, I can't do without gppasta in a day.",0.169,0.681,0.151,0.1275,neutral
Delicious Golden penny pasta,0.0,0.448,0.552,0.5719,positive
Amazing,0.0,0.0,1.0,0.5859,positive
Best pasta!!!,0.0,0.165,0.835,0.7249,positive
Excellent,0.0,0.0,1.0,0.5719,positive
Golden penny is actually my best pasta,0.0,0.588,0.412,0.6369,positive
I don't even think golden penny pasta should still be having advert cus it is the king of all pasta,0.0,1.0,0.0,0.0,neutral
this is d real spaghetti,0.0,1.0,0.0,0.0,neutral
I love Golden penny pasta too.,0.0,0.543,0.457,0.6369,positive
"Golden penny,calm down u are still the best.",0.0,0.625,0.375,0.6369,positive
I love  a lot.. Any other pasta is counterfeit,0.0,0.656,0.344,0.6369,positive
"The best pasta  ever, I love golden penny pasta so much",0.0,0.517,0.483,0.8555,positive
No matter how golden penny is expensive in the market it's still the best of them all I love it,0.041,0.642,0.317,0.8529,positive
I love golden penny pasta but it's now very expensive for us student,0.0,0.822,0.178,0.3818,neutral
"My love for golden penny pasta is on a premium level, I've never go wrong with it",0.0,0.69,0.31,0.7753,positive
Golden penny pasta my favorite,0.0,0.571,0.429,0.4588,neutral
"This is exactly what I and kid had this afternoon, so tasty",0.0,1.0,0.0,0.0,neutral
Always reminds me of home,0.0,1.0,0.0,0.0,neutral
The best of the best. If not golden penny I no chop pasta.,0.107,0.485,0.408,0.802,positive
It's just the best,0.0,0.417,0.583,0.6369,positive
It's my family favorite,0.0,0.5,0.5,0.4588,neutral
Golden Penny pasta is the best,0.0,0.543,0.457,0.6369,positive
Number one pasta brand in Nigeria,0.0,0.794,0.206,0.0772,neutral
Omo if no golden penny pasta no pasta swears I do buy a pack,0.335,0.665,0.0,-0.5496,negative
One of my favorite pasta brands,0.0,0.625,0.375,0.4588,neutral
Golden Penny pasta is the reason that I still eat pasta,0.0,1.0,0.0,0.0,neutral
It's so yummy yummy,0.0,0.213,0.787,0.8111,positive
I love this pasta,0.0,0.417,0.583,0.6369,positive
My best yummy,0.0,0.116,0.884,0.8225,positive
"why are you people not commenting about the guy post, suddenly everyone love golden penny",0.0,0.769,0.231,0.6369,positive
Golden penny is so good honestly  that’s only what I eat,0.0,0.562,0.438,0.7917,positive
Golden penny or no pasta.,0.355,0.645,0.0,-0.296,neutral
"I can't imagine my kitchen without golden penny pasta even if it is one,my best pasta ever.",0.0,0.792,0.208,0.6369,positive
U don't like golden penny ke,0.297,0.703,0.0,-0.2755,neutral
Golden penny and crown pasta for life,0.0,1.0,0.0,0.0,neutral
"Wow una still dey eat pasta, lol, ever since Golden pasta increased their price I just quit buying. Asides being expensive it's really the best .",0.0,0.625,0.375,0.9213,positive
Golden pasta is delicious,0.0,0.448,0.552,0.5719,positive
Golden penny spaghetti is the best because it does not stick together,0.0,0.724,0.276,0.6369,positive
My pasta,0.0,1.0,0.0,0.0,neutral
"But lets not lie, golden penny is goooooood.my best",0.0,0.58,0.42,0.7783,positive
The only product I've had all my life.,0.0,1.0,0.0,0.0,neutral
Too expensive abeg.......,0.0,1.0,0.0,0.0,neutral
The best pasta fr,0.0,0.417,0.583,0.6369,positive
I just love the song in the background,0.0,0.625,0.375,0.6369,positive
"Why the advert nahh?all the golden penny products remains the best and the masses know it. We buy other products only because we don't have enough money to buy the best. I love it all ranging from sugar, pastas, floor etc",0.0,0.751,0.249,0.9274,positive
Delicious Golden penny pasta Great taste,0.0,0.339,0.661,0.8316,positive
Golden peny pasta  is actually my best,0.0,0.588,0.412,0.6369,positive
"They are the best,with or without advert",0.0,1.0,0.0,0.0,neutral
Golden Penny is the best of them all. And will always be!,0.0,0.71,0.29,0.6696,positive
Like Love,0.0,0.0,1.0,0.7717,positive
me too we are only two girls in my family,0.0,1.0,0.0,0.0,neutral
Oh yummy food,0.0,0.37,0.63,0.5267,positive
It's unique taste,0.0,1.0,0.0,0.0,neutral
It's filling and satisfying,0.0,0.5,0.5,0.4588,neutral
My favorite always,0.0,0.4,0.6,0.4588,neutral
Golden penny macaroni is my best pasta,0.0,0.588,0.412,0.6369,positive
"Aunty please help me, i really needs your help please",0.0,0.369,0.631,0.8505,positive
"I couldn't get it in this town , I went to get it in another town",0.0,1.0,0.0,0.0,neutral
Golden penny the best,0.0,0.417,0.583,0.6369,positive
"Golden penny doesn't have any competitor, it's the best!",0.0,0.64,0.36,0.6696,positive
i love it but abeg make una reduce price for us,0.0,0.794,0.206,0.3818,neutral
Golden penny is best,0.0,0.417,0.583,0.6369,positive
I love spaghetti,0.0,0.323,0.677,0.6369,positive
The best pasta there is and would ever be,0.0,0.656,0.344,0.6369,positive
"If it’s not golden penny pasta, then it’s not pasta at all",0.0,1.0,0.0,0.0,neutral
Too expensive for students.,0.0,1.0,0.0,0.0,neutral
Me and pasta na 5&6,0.0,1.0,0.0,0.0,neutral
Had  for lunch. The best I must say,0.0,0.625,0.375,0.6369,positive
MY FAVOURITE,0.0,1.0,0.0,0.0,neutral
You guys has really reduced this pasta,0.0,1.0,0.0,0.0,neutral
Congratulations the BEST CHAMPION OF ALL TIME,0.0,0.229,0.771,0.9378,positive
Nice and of good quality,0.0,0.345,0.655,0.6908,positive
That is  my favourite,0.0,1.0,0.0,0.0,neutral
I used to avoid other ones but it’s too expensive nd not even as full as before,0.091,0.909,0.0,-0.1531,neutral
You guy's should work on your noodles as well,0.0,0.792,0.208,0.2732,neutral
It's too expensive,0.0,1.0,0.0,0.0,neutral
If Dem like make Dem copy Dem tire no brand of pasta fit beat Golden penny,0.109,0.644,0.248,0.4215,neutral
GOD bless FMN,0.0,0.151,0.849,0.6841,positive
Best paster ever,0.0,0.323,0.677,0.6369,positive
it. Good,0.0,0.256,0.744,0.4404,neutral
My No 1 pasta,0.423,0.577,0.0,-0.296,neutral
Reminds me of home,0.0,1.0,0.0,0.0,neutral
It's expensive n it's no longer full,0.268,0.732,0.0,-0.296,neutral
How are you,0.0,1.0,0.0,0.0,neutral
Your pasta is good ohh but it's no longer affordable,0.22,0.627,0.153,-0.2144,neutral
So why are you guys reducing the quality and also increasing the amount,0.0,1.0,0.0,0.0,neutral
You guys should reduce the price  and stop this all advert,0.18,0.82,0.0,-0.296,neutral
This is amazing,0.0,0.345,0.655,0.5859,positive
There's no macaroni in d whole of Calabar expect twist,0.196,0.804,0.0,-0.296,neutral
Simply the best.,0.0,0.323,0.677,0.6369,positive
This is not just for typing sakes.,0.0,1.0,0.0,0.0,neutral
It's actually the best,0.0,0.417,0.583,0.6369,positive
As I no get Money na him make I ever enter relationship,0.167,0.833,0.0,-0.296,neutral
U guys are good,0.0,0.508,0.492,0.4404,neutral
The best shaa,0.0,0.323,0.677,0.6369,positive
a u guys the best honestly,0.0,0.357,0.643,0.802,positive
"I love spaghettini,because it gives joy",0.0,0.333,0.667,0.8402,positive
Wat kind of play is this on my baby,0.0,0.792,0.208,0.2748,neutral
Golden penny remains the best!.,0.0,0.471,0.529,0.6696,positive
The best among all but i can't avoid it again too expensive,0.0,0.67,0.33,0.6036,positive
Amen Amen Amen,0.0,1.0,0.0,0.0,neutral
The best,0.0,0.192,0.808,0.6369,positive
E no dey ok person again,0.505,0.495,0.0,-0.4745,neutral
They will learn,0.0,1.0,0.0,0.0,neutral
Guy run ￼ooo,0.0,1.0,0.0,0.0,neutral
The best pasta ever. My love for it is much,0.0,0.488,0.512,0.8555,positive
Ameen ya Allah,0.0,1.0,0.0,0.0,neutral
How can one be your distributor?,0.0,1.0,0.0,0.0,neutral
Daniel Fx,0.0,1.0,0.0,0.0,neutral
Golden penny is my best pasta,0.0,0.543,0.457,0.6369,positive
Golden Penny is actually my family best pasta,0.0,0.625,0.375,0.6369,positive
Indeed,0.0,1.0,0.0,0.0,neutral
You want to kill her?,0.522,0.333,0.144,-0.6597,negative
best always just the increased price,0.0,0.388,0.612,0.743,positive
It is the best pasta ever,0.0,0.543,0.457,0.6369,positive
Best and affordable,0.0,0.323,0.677,0.6369,positive
You enjoy slurping,0.0,0.385,0.615,0.4939,neutral
Chaii . Na who get moni dey enjoy life,0.0,0.714,0.286,0.4939,neutral
H,0.0,1.0,0.0,0.0,neutral
Oh,0.0,1.0,0.0,0.0,neutral
",uncle zukwanuike",0.0,1.0,0.0,0.0,neutral
"Mama Obum Global you just gain a follower, you really make sense",0.0,0.764,0.236,0.5267,positive
Hmmmmm,0.0,1.0,0.0,0.0,neutral
True,0.0,0.0,1.0,0.4215,neutral
Enu po!!,0.0,1.0,0.0,0.0,neutral
Hi,0.0,1.0,0.0,0.0,neutral
DARA,0.0,1.0,0.0,0.0,neutral
Wild,0.0,1.0,0.0,0.0,neutral
I can't really find Spaghettini in the stores anymore,0.0,1.0,0.0,0.0,neutral
Spaghetti or nothing !,0.0,1.0,0.0,0.0,neutral
Happy Friday Greetings From All of Us at,0.0,0.48,0.52,0.7579,positive
I just had a corcontion one,0.0,1.0,0.0,0.0,neutral
spaghetti,0.0,1.0,0.0,0.0,neutral
Stir fry Spaghettini,0.0,1.0,0.0,0.0,neutral
Amazing job,0.0,0.208,0.792,0.5859,positive
Really,0.0,1.0,0.0,0.0,neutral
Spaghetti don dey hungry me now,0.0,1.0,0.0,0.0,neutral
Another pasta dey apart from golden penny pasta? Golden penny or no pasta,0.155,0.845,0.0,-0.296,neutral
"@Olori adewale , people think I'm too traditional, but everything my mom raised us with is what I cook I swear, golden penny, Maggi star and many traditional spices, the pasta part, I can't even afford to replace wallahi",0.033,0.967,0.0,-0.0772,neutral
"In term of pasta, Golden penny is the king",0.0,1.0,0.0,0.0,neutral
Golden penny please do u have indomie branch in Delta state pls it's the only one I eat since I came to sch here I can't even find it,0.0,0.882,0.118,0.3818,neutral
Normally ..my ex makes the best spaghetti,0.0,0.588,0.412,0.6369,positive
Take ur flower dear golden penny,0.0,0.658,0.342,0.3818,neutral
I swr Golden penny don bring back memories ,0.0,1.0,0.0,0.0,neutral
The best though... Last longer on d ,0.0,0.588,0.412,0.6369,positive
Rosted golden penny pasta,0.0,1.0,0.0,0.0,neutral
", salivating already",0.0,1.0,0.0,0.0,neutral
Golden Penny Pasta has been our preferred pasta for a long time as a family.,0.0,1.0,0.0,0.0,neutral
Golden penny pasta is my day one padi ,0.0,1.0,0.0,0.0,neutral
Normally Golden Penny Pasta na king of Pasta,0.0,1.0,0.0,0.0,neutral
If you are not cooking golden pasta what are you cooking?,0.0,1.0,0.0,0.0,neutral
I LOVE GOLDEN PENNY ,0.0,0.417,0.583,0.6369,positive
Just while I'm eating my golden penny pasta ,0.0,1.0,0.0,0.0,neutral
I love godden penny pasta,0.0,0.488,0.512,0.6369,positive
That’s my favourite pasta,0.0,1.0,0.0,0.0,neutral
I'm officially a Golden penny Fan now. Lol,0.0,0.541,0.459,0.6249,positive
Golden penny so far the best I’ve known,0.0,0.611,0.389,0.6666,positive
Everything about this video is perfect,0.0,0.575,0.425,0.5719,positive
Golden Penny make sense.,0.0,1.0,0.0,0.0,neutral
Lol,0.0,0.0,1.0,0.4215,neutral
Just finished eating mine now,0.0,1.0,0.0,0.0,neutral
"Dat is how I saw a guy last night,he was making call, telling his gf to cook pasta for him.... ",0.0,1.0,0.0,0.0,neutral
"If not golden penny, no other.",0.0,0.726,0.274,0.2235,neutral
If it's not Golden Penny pasta ,0.0,1.0,0.0,0.0,neutral
Leave me ohhh. When we were together you dey do shakara,0.107,0.893,0.0,-0.0516,neutral
I actually know only Golden penny pasta.,0.0,1.0,0.0,0.0,neutral
No cap golden penny is the best spaghetti since I was a child till now. None comes close.,0.098,0.714,0.188,0.4588,neutral
Golden penny pasta and brown beans,0.0,1.0,0.0,0.0,neutral
"Golden Penny pasta with panla fish and enough cabbage,carrot and egg oh my world the feeling is outta this world",0.0,0.927,0.073,0.128,neutral
Golden penny still remains the best.,0.0,0.543,0.457,0.6369,positive
"If it is not golden penny pasta, then i am not buying",0.0,1.0,0.0,0.0,neutral
Always buy that once my salary is being pay,0.149,0.851,0.0,-0.1027,neutral
I so much love golden penny pasta,0.0,0.573,0.427,0.6682,positive
Golden penny anytime,0.0,1.0,0.0,0.0,neutral
The best. My favorite,0.0,0.217,0.783,0.802,positive
I have non,0.0,1.0,0.0,0.0,neutral
I swear golden peñny pasta with alot of fish inside back then that guy no get any other food other than golden peñny pasta,0.134,0.866,0.0,-0.34,neutral
My favourite,0.0,1.0,0.0,0.0,neutral
And I will be eaten Golden Penny Pasta tomorrow for launch ,0.0,1.0,0.0,0.0,neutral
The best of them all ,0.0,0.488,0.512,0.6369,positive
"No golden penny pasta, no other pasta",0.468,0.532,0.0,-0.5267,negative
All the way,0.0,1.0,0.0,0.0,neutral
"Wow that's so lovely,,, I love Golden Penny Pasta bcs it does not mashed together an the taste is heavenly that's what me an my family eat always",0.0,0.595,0.405,0.9542,positive
"I love Golden Penny Pasta because is easy to cook, delicious, nutritious and the nice felling I get when eating it",0.0,0.556,0.444,0.9274,positive
"It’s easy to cook ,delicious , have a pleasant texture and is not mushy",0.0,0.526,0.474,0.872,positive
"I love Golden Penny Pasta cos it's non soggy, filling,nourishing and I could go on and on",0.0,0.792,0.208,0.6369,positive
I love the taste and the method of preparing,0.0,0.656,0.344,0.6369,positive
Tasha still carry classic bread go date...chai,0.0,1.0,0.0,0.0,neutral
Be like say na this Golden penny pasta dey ruin den,0.248,0.588,0.163,-0.3182,neutral
May God bless his memory(rip monox),0.0,0.449,0.551,0.5994,positive
Edited,0.0,1.0,0.0,0.0,neutral
Mine’s RC cola/RC orange and indomie with egg broken inside,0.256,0.744,0.0,-0.4767,neutral
If not golden penny sphag we aren't cooking any other at home.... mummy said so. and she go add am big fat fresh fried fish,0.0,0.913,0.087,0.3182,neutral
I asked myself what about the bread....but I wait till the end,0.0,1.0,0.0,0.0,neutral
"Honestly, I wasn't expecting the bread.",0.0,0.625,0.375,0.4588,neutral
Bread with spaghetti??,0.0,1.0,0.0,0.0,neutral
Whenever I eat white rice with catfish pepper soup alone,0.182,0.818,0.0,-0.25,neutral
Me bean and rice,0.0,1.0,0.0,0.0,neutral
"When I thought I have seen it all, she combined bread with spaghetti ",0.0,1.0,0.0,0.0,neutral
"Beans ,he want use beans kill me",0.427,0.455,0.118,-0.6597,negative
If this girl never eat bread she never start,0.0,1.0,0.0,0.0,neutral
Mbok that bread was very necessary so the food go weigh,0.0,1.0,0.0,0.0,neutral
"My problem is not the Ex oo, is that why are the now selling the size of spaghettini as spaghetti",0.124,0.876,0.0,-0.4019,neutral
You still carry bread?,0.0,1.0,0.0,0.0,neutral
I was waiting for dat bread,0.0,1.0,0.0,0.0,neutral
You dey use bread chop spag for restaurant... which kain behaviour be this?,0.0,1.0,0.0,0.0,neutral
Me & my guy that year ,0.0,1.0,0.0,0.0,neutral
Catfish pepper soup,0.0,1.0,0.0,0.0,neutral
You no fit leave this ur bread,0.256,0.605,0.139,-0.2411,neutral
E no go better for that Emma ,0.479,0.521,0.0,-0.5583,negative
U still carry bread,0.0,1.0,0.0,0.0,neutral
En no fit end without bread,0.297,0.703,0.0,-0.2755,neutral
Do you have to add bread to get satisfied ? FFO,0.0,0.781,0.219,0.4215,neutral
Wetting concern ex and my sweet spag,0.0,0.667,0.333,0.4588,neutral
The comments here are testaments of quality products being the cornerstones of every great brands. You ve earned your flowers,0.0,0.823,0.177,0.6249,positive
If this bread never put you for trouble u no go rest,0.329,0.671,0.0,-0.5994,negative
"E bi like na only me no sabi cook am, why my own d turn water ",0.118,0.749,0.134,0.0772,neutral
"Tasha, when will you stop eating bread?",0.268,0.732,0.0,-0.296,neutral
"Chief why are you shouting at Tasha like that,that bread combo is madt with pasta, love me some golden penny pasta",0.0,0.739,0.261,0.7717,positive
Same here,0.0,1.0,0.0,0.0,neutral
You and bread ehn,0.0,1.0,0.0,0.0,neutral
Tasha and bread na 5&6,0.0,1.0,0.0,0.0,neutral
Must you eat the bread there,0.0,1.0,0.0,0.0,neutral
This Tasha girl no fit kill me,0.195,0.461,0.345,0.3875,neutral
Golden penny is good oooh but they don dey count it aswear,0.0,0.849,0.151,0.2382,neutral
U carry bread come there?,0.0,1.0,0.0,0.0,neutral
My x okro soup na die dat year oooo...chai mimi,0.302,0.698,0.0,-0.5994,negative
"Abeg na d background song carry me come here, who knows the title meanwhile enjoy your golden penny",0.0,0.842,0.158,0.4939,neutral
Why you carry bread go date ?,0.0,1.0,0.0,0.0,neutral
Golden Penny pasta no dey finish for my house ooo,0.196,0.804,0.0,-0.296,neutral
Bread and spaghetti??,0.0,1.0,0.0,0.0,neutral
Mine is perfume ...,0.0,1.0,0.0,0.0,neutral
I was actually expecting to see her with bread,0.0,1.0,0.0,0.0,neutral
Crayfish stew,0.0,1.0,0.0,0.0,neutral
Chai my own na oil rice how dat one wan take get flashback memory wen she don dey chop turkey,0.0,1.0,0.0,0.0,neutral
She sabi cook am,0.0,1.0,0.0,0.0,neutral
My na perfume,0.0,1.0,0.0,0.0,neutral
This Emma don show you shege,0.0,1.0,0.0,0.0,neutral
This your bread eh,0.0,1.0,0.0,0.0,neutral
Na golden penny spaghetti and rice with Egg sauce,0.0,1.0,0.0,0.0,neutral
"Ahhh, when you date Emma, why he no go be your ex",0.167,0.833,0.0,-0.296,neutral
"The number for Nigeria, I can't buy another",0.0,0.843,0.157,0.0772,neutral
Where did the bread come out from,0.0,1.0,0.0,0.0,neutral
No be me you cook for ooo,0.268,0.732,0.0,-0.296,neutral
Them use bread swear for this woman,0.167,0.833,0.0,-0.0516,neutral
Semo and okoro soup,0.0,1.0,0.0,0.0,neutral
My own is egusi soup,0.0,1.0,0.0,0.0,neutral
Abeg no vex if she no add bread her body no go dey okay,0.357,0.541,0.103,-0.5719,negative
Walai na few people dey alright for this country. I and another person.,0.0,0.857,0.143,0.25,neutral
I remember when it's was 110 naira na everybody we dey eat am,0.0,1.0,0.0,0.0,neutral
You even chop am with bread,0.0,1.0,0.0,0.0,neutral
Ewoooo. To me nothing. My ex remains forgotten .,0.192,0.808,0.0,-0.2263,neutral
E get one hot jollof rice wey Oluwa Segun Ishola dey buy for me then,0.0,1.0,0.0,0.0,neutral
Emma name no dey comot from social media,0.239,0.761,0.0,-0.296,neutral
If she never chop classic bread the matter no go ever end oooo,0.154,0.769,0.077,-0.2732,neutral
Dem do u with bread,0.0,1.0,0.0,0.0,neutral
Uturu Ukpa Soup,0.0,1.0,0.0,0.0,neutral
I hope sey no be my own Emma??,0.192,0.524,0.284,0.264,neutral
"Wait oo, I no understand... Na snail still be that?",0.196,0.804,0.0,-0.296,neutral
I knew she brought bread,0.0,1.0,0.0,0.0,neutral
Waiting we do this people any painful break up nah Emma,0.323,0.677,0.0,-0.5106,negative
Must you use Emma.,0.0,1.0,0.0,0.0,neutral
That snail na giant oh,0.0,1.0,0.0,0.0,neutral
I was wondering if she forgot the bread,0.0,1.0,0.0,0.0,neutral
Wettin b this again?,0.0,1.0,0.0,0.0,neutral
Nneka no lie oooo,0.423,0.577,0.0,-0.296,neutral
Dem swear bread for you,0.231,0.769,0.0,-0.0516,neutral
Chief you see me say na Tasha good for you shey?!,0.0,0.758,0.242,0.4926,neutral
"Hmmm, is pounded yam oo with egunsi soup ",0.0,1.0,0.0,0.0,neutral
Make I go call my ex,0.0,1.0,0.0,0.0,neutral
So she carry bread go the date kwa?,0.0,1.0,0.0,0.0,neutral
Must it always be Emma? We don suffer oh,0.304,0.696,0.0,-0.5423,negative
"Whenever I go to a nearby store to get pasta and they don't have golden penny , omo na to buy bread and fry egg chop.... Golden penny God bless you people for keeping up with your standard and still very affordable",0.0,0.891,0.109,0.5994,positive
"I love it because when cooked, it doesn't look like pap their meaning over soft. My best pasta",0.083,0.588,0.329,0.8069,positive
"I love golden penny,I always cook it with veggies and chicken and my family can't get enough of it,so yummy",0.0,0.703,0.297,0.8225,positive
I love golden penny pasta but d problem I have with it now is that the quantity is reduced if I want to cook for my family now just two kids myself and my husband na one and half I dey cook abeg make una try put small jara inside,0.065,0.861,0.074,-0.128,neutral
I love this pasta alot,0.0,0.488,0.512,0.6369,positive
Still my best pasta,0.0,0.417,0.583,0.6369,positive
My favourite golden penny,0.0,1.0,0.0,0.0,neutral
I was gifted the vegetable oil some time back. Oh! You will love it!,0.0,0.731,0.269,0.6988,positive
I'm not a lover of pasta but golden penny makes me one now,0.145,0.855,0.0,-0.2584,neutral
"My penny is indeed golden with Golden penny pasta, you guys are the best",0.0,0.756,0.244,0.6369,positive
"It's my favorite pasta and families who eat protein rich golden penny together have healthier and strong bond. It's nourish our family with a healthy meal at all time ,easy to cook, in less than 10 minutes your pasta is ready. Golden penny pasta is delicious, convenient,rich in protein and other essential nutrients, firm and it doesn't stick,",0.0,0.702,0.298,0.967,positive
So much in love with golden penny pasta.,0.0,0.611,0.389,0.6666,positive
Any golden penny product is amazing even the macaroni is very yummy,0.0,0.572,0.428,0.8173,positive
Golden penny pasta is the best,0.0,0.543,0.457,0.6369,positive
I love it. Even though I just bought another one this evening,0.0,0.724,0.276,0.6369,positive
"The best spaghetti, although a bit expensive but still my best",0.0,0.517,0.483,0.8555,positive
Reason I haven’t been to chicken for long.,0.0,1.0,0.0,0.0,neutral
This is no longer funny,0.606,0.394,0.0,-0.5583,negative
No golden penny pasta no pasta,0.524,0.476,0.0,-0.5267,negative
If it is not golden penny... Just rest ....I love gold penny pasta,0.0,0.741,0.259,0.6369,positive
"My favorite,I love it",0.0,0.417,0.583,0.6369,positive
Which app can one use to achieve this face effect,0.0,1.0,0.0,0.0,neutral
My family and I from this day will only buy Golden Penny.,0.0,1.0,0.0,0.0,neutral
Golden penny spaghetti is representing so well ,0.0,0.686,0.314,0.4101,neutral
Story!!,0.0,1.0,0.0,0.0,neutral
"The way I could easily cook it, it something I could cook easily and in different methods plus the feeling of eating it like Korea or Chinese people",0.0,0.732,0.268,0.7783,positive
I must say that Golden Penny Pasta is just the best,0.0,0.704,0.296,0.6369,positive
The attached music is,0.0,1.0,0.0,0.0,neutral
I really can’t do without golden penny pasta,0.0,1.0,0.0,0.0,neutral
Neeka is the best in ads,0.0,0.543,0.457,0.6369,positive
I love golden penny Bcus it doesn’t stick to each other,0.0,0.704,0.296,0.6369,positive
Golden penny pasta has always been d best pasta ever,0.0,0.682,0.318,0.6369,positive
Golden penny to the world,0.0,1.0,0.0,0.0,neutral
Please what’s the title of the song on the background,0.0,0.796,0.204,0.3182,neutral
My best pasta,0.0,0.323,0.677,0.6369,positive
This is very creative,0.0,0.484,0.516,0.4927,neutral
golden penny or nothing,0.0,1.0,0.0,0.0,neutral
Golden Penny no dey soak water like other pasta.,0.188,0.598,0.214,0.0772,neutral
Beans and bread every Saturday especially during the raining season,0.0,1.0,0.0,0.0,neutral
Oh so there are other pastas other than golden penny? That's weird,0.134,0.866,0.0,-0.1779,neutral
Golden penny best spag so far,0.0,0.543,0.457,0.6369,positive
And I got disappointed....bread!!! in spaghetti?,0.0,1.0,0.0,0.0,neutral
Vegetable and eba,0.0,1.0,0.0,0.0,neutral
I love it bcos it doesn’t stick,0.0,0.588,0.412,0.6369,positive
Irish and egg,0.0,1.0,0.0,0.0,neutral
Please you people should reduce your price laho,0.0,0.753,0.247,0.3182,neutral
I swear I cry de watch this video,0.417,0.583,0.0,-0.5106,negative
I Don finally see something I can relate to online,0.0,1.0,0.0,0.0,neutral
If nah so I will not buy ohh! I don't want to be crying everyday,0.334,0.666,0.0,-0.6142,negative
If it's not Golden Penny I don't want,0.149,0.851,0.0,-0.0572,neutral
Even music,0.0,1.0,0.0,0.0,neutral
Chicken pie,0.0,1.0,0.0,0.0,neutral
I swear it's pasta ooo,0.231,0.769,0.0,-0.0516,neutral
Yam and egg or vanilla ice cream,0.0,1.0,0.0,0.0,neutral
I still cook my Dangote spaghetti,0.0,1.0,0.0,0.0,neutral
Fried rice,0.0,1.0,0.0,0.0,neutral
I wasn't prepared for the end,0.25,0.75,0.0,-0.1695,neutral
Neekahs luxury bread is the best person for this ads,0.0,0.682,0.318,0.6369,positive
I can't believe I'm eating golden penny while watching this,0.0,1.0,0.0,0.0,neutral
"Ekuru, wheat, beans",0.0,1.0,0.0,0.0,neutral
Who sing this song abeg,0.0,1.0,0.0,0.0,neutral
"It doesn't stick together, my number 1",0.0,0.822,0.178,0.0772,neutral
Emma oh Emma you messed up,0.324,0.676,0.0,-0.34,neutral
Lol this is so funny,0.0,0.314,0.686,0.7609,positive
Favorite of all time,0.0,0.5,0.5,0.4588,neutral
The best spaghetti I know for now,0.0,0.588,0.412,0.6369,positive
your cerebrum is what I aspire for,0.0,1.0,0.0,0.0,neutral
My favorite food is white golden penny pasta and stew.,0.0,0.75,0.25,0.4588,neutral
It satisfying,0.0,0.25,0.75,0.4588,neutral
Thank God I no get ex,0.224,0.306,0.469,0.34,neutral
Whi is the ex emma,0.0,1.0,0.0,0.0,neutral
"I swear mine is noodles, ",0.231,0.769,0.0,-0.0516,neutral
My favourite yummy,0.0,0.37,0.63,0.5267,positive
This one will soon become another EX,0.0,1.0,0.0,0.0,neutral
2 in 1 advertisement,0.0,1.0,0.0,0.0,neutral
Avocado ,0.0,1.0,0.0,0.0,neutral
Yes truly Golden penny is the best,0.0,0.29,0.71,0.8689,positive
Please what's the name of the background song,0.0,0.753,0.247,0.3182,neutral
"Emmanuel has really suffered, gosh!",0.486,0.514,0.0,-0.5838,negative
Cake and ice cream,0.0,1.0,0.0,0.0,neutral
U too like emma,0.0,0.545,0.455,0.3612,neutral
Why am I feeling emotional,0.0,0.492,0.508,0.2732,neutral
@golden penny nice advert i love it,0.0,0.417,0.583,0.7906,positive
